building_id,income,annual_kwh,pre_fixed_bill,post_fixed_bill,pre_fixed_tou_bill,post_fixed_tou_bill,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE1.5_bill,new_F0_WF1_ROE0_bill,new_F0_WF1_ROE1.5_bill,new_F25_WF0_ROE0_bill,new_F50_WF0_ROE0_bill,new_F50_WF0_ROE1.5_bill,new_F50_WF1_ROE0_bill,new_F50_WF1_ROE1.5_bill,new_F75_WF0_ROE0_bill,new_F75_WF1_ROE0_bill,new_F75_WF1_ROE1.5_bill
182574,high,4828.4890000000005,2120.72560315,2160.53924003,2581.34204918,2565.4345646799998,2552.7223676000335,2429.696905700018,2303.1011904000025,2180.255219899995,2519.0325974999937,2485.2309297000015,2362.432061599994,2235.7287145999994,2112.7434136999955,2451.5953263999963,2202.018576200005,2079.0536436
498332,high,5379.290000000001,2403.39305807,2409.1706932,2874.6454058799995,2823.1934523,2835.8081766000505,2699.1340906999862,2558.5080483000916,2422.0499884000074,2761.8591323000014,2687.8183012000013,2551.3854753999967,2410.6504630000036,2274.0214220000034,2613.934994300028,2336.662727699998,2200.0723776999944
513107,high,11426.66,5641.79224676,5257.6286614,6099.85554057,5659.04776955,6030.544146800019,5739.894265600001,5440.81076349999,5150.651606799991,5502.383536400009,4973.98238880001,4683.860301000006,4384.574961899984,4094.039165999983,4445.944266499999,3856.3636686999866,3565.878555599982
398804,low,2232.54,949.1867063999999,908.2316238,1195.4106698599999,1124.89728334,1180.5185524000115,1123.6218625999945,1065.0797280000033,1008.2655151999987,1144.3741986999962,1108.1813698000003,1051.392521599995,992.7938323999972,935.9221616999916,1072.0663924999928,956.6445078000027,899.7790080000063
258311,high,12217.198,6022.68446243,5592.658623560001,6675.149326510001,6182.1811250499995,6620.234205200116,6301.148982599975,5972.820375700011,5654.153319500116,6008.2733698000075,5396.007066399946,5077.508644099963,4748.823042099995,4429.89129329997,4784.139202099981,4136.827319300003,3817.930457899992
379124,high,5191.062000000001,2302.8994301800003,2320.77766434,2768.46195188,2729.21280424,2730.7365757999937,2599.127757100028,2463.7033082000803,2332.3147365999594,2671.7249055999714,2612.6245612999874,2481.245064199974,2345.733542900001,2214.168979899976,2553.6755407000087,2286.688130500028,2155.1573096999837
373607,high,11041.923999999999,5392.994343120001,5038.79058788,5859.20209697,5443.20245227,5771.429715399984,5493.293302499995,5207.086685799975,4929.392939000019,5280.095831699903,4788.572020000026,4510.915414399947,4224.525903699992,3946.445933400007,4297.38226279998,3733.102709800012,3455.1120496999993
278943,high,726.9840000000002,309.08451744,567.02616648,391.20036748,639.51177536,387.1513105999826,368.49280549999173,349.29412380001094,330.65794850001436,661.3515848000069,935.5313725000001,916.9097608999912,897.6882263000044,879.037046400001,1209.7397645000017,1171.8875364999967,1153.2373206000084
156405,medium,7511.916,3545.39282097,3413.66030022,4050.7593652699998,3861.63475749,4001.6355877999513,3808.782200299984,3610.3396799000693,3417.733697900003,3761.951511100003,3522.10075870001,3329.59488049999,3130.9536833999996,2938.158389699984,3282.4989426999928,2891.2291276000087,2698.474313000003
139878,high,9141.992,4375.65376983,4143.94974094,4920.711204789999,4626.681190650001,4849.944964199967,4616.187276700026,4375.683747999977,4142.214830000005,4489.649552700005,4129.139564500002,3895.8570129999857,3655.045972299998,3421.436523199967,3768.983566799991,3294.7776537000072,3061.1411116999925
312060,high,6365.905,2931.5379455899997,2873.7207531500003,3397.64546072,3282.69325578,3353.7019605999913,3192.069867600005,3025.7533421999865,2864.384004400002,3206.1213110000003,3058.4242205999835,2897.07666729998,2730.644499100014,2569.064172399985,2910.9178116,2583.0217574999983,2421.4835227999947
