building_id,income,annual_kwh,scaling_factor,pre_fixed_tou_bill,post_fixed_tou_bill,new_F0_WF0_ROE0_bill,new_F0_WF0_ROE0.5_bill,new_F0_WF1_ROE0_bill,new_F0_WF1_ROE0.5_bill,new_F25_WF0_ROE0_bill,new_F50_WF0_ROE0_bill,new_F50_WF1_ROE1.5_bill
257156,low,4598.826,0.7130643653791515,2449.6018954099995,2226.70537129,1482.004793099974,1458.204949000004,1337.0847420000182,1313.2654388000167,1352.0790367000175,1222.0420703000177,1005.7998581000109
82975,medium,6003.93,0.7130643653791515,3208.2805769,3116.73523654,1941.4467609999997,1910.2722470999836,1751.5883508000097,1720.3937045000118,1867.316064499991,1792.9896901999996,1509.729127
500853,medium,7601.738,0.7130643653791515,4054.5758023500002,3860.0094910099997,2456.1217312999993,2416.677270000019,2215.9485812000166,2176.474574499987,2308.8236529000037,2161.3206938000108,1802.9531034999986
380768,medium,1236.8210000000001,0.7130643653791515,682.07066546,897.3698844799999,413.0099608000013,406.3684315999915,372.60954010000086,365.9824504000062,556.1018291000034,699.167272200012,638.8892610999992
207545,high,10184.685000000001,0.7130643653791515,5512.5900434800005,5150.98938446,3329.3517524999843,3275.882415699984,3003.7204386999883,2950.253790799995,3057.946040799995,2786.28402690001,2300.4553544999876
2935,low,10310.37,0.7130643653791515,5534.35779629,4943.2674167899995,3347.8997949000413,3294.1297733999863,3020.491616400003,2966.7014917,2952.7750972999934,2557.3838194000227,2068.8759104999826
374366,medium,4803.4839999999995,0.7130643653791515,2552.56822055,2538.2841172099997,1541.976246800018,1517.2253103999649,1391.1968346000176,1366.4079836000167,1524.6009372999854,1507.121889700034,1282.1319308999919
468496,medium,6240.758000000001,0.7130643653791515,3317.14737022,3210.2881202199997,2006.3738166999906,1974.164702600004,1810.18194239999,1777.928928100003,1922.9939021000037,1839.4683274000108,1546.7212885000058
500254,high,8338.256,0.7130643653791515,4406.9728938299995,4165.0745554899995,2667.3637894999893,2624.561661600004,2406.5573767999867,2363.6734543999946,2490.0464329999922,2312.499802799997,1923.3378742000045
184612,low,8699.685,0.7130643653791515,4662.38689644,4175.30314666,2826.647654600033,2781.236938399973,2550.217241699981,2504.8204028999885,2505.6424493,2184.3156997000083,1771.8948154999953
510358,low,3109.851,0.7130643653791515,1672.9894981999998,1545.9308422200002,1013.1834687000002,996.9062363000043,914.0988045000033,897.8236118999985,949.9011701999982,886.5209232000002,738.6870810999972
320156,high,6923.914000000001,0.7130643653791515,3700.5225279399997,3549.6406959,2238.6791236000017,2202.7229382000046,2019.7469717999998,1983.7852504999976,2122.2959639999954,2005.7168825000026,1679.0613140000032
381558,medium,4889.34,0.7130643653791515,2611.08895992,2591.26056838,1580.1059582999933,1554.728902899965,1425.5927243999884,1400.1972542999936,1557.3143862000104,1534.4012709000176,1303.8459796999905
11217,high,8213.386999999999,0.7130643653791515,4364.47805952,4130.55710718,2633.680642799997,2591.4097383000003,2376.121100300002,2333.8074821999858,2461.1537387000008,2288.4247681999987,1904.1315909999967
