zip_code,utility,acronym,type,climate_zone,city,county,utility_baseline_territory,summer_baseline_allowance,winter_baseline_allowance,puma,percentpuma,,,,,,,,,,,,,,,
90712,Southern California Edison,SCE,IOU,8,Lakewood,Los Angeles County,8,12.8,10.3,3764,0.944342397,,,,,,,,,,,,,,,
90713,Southern California Edison,SCE,IOU,8,Lakewood,Los Angeles County,8,12.8,10.3,3764,0.99079944,,,,,,,,,,,,,,,
90715,Southern California Edison,SCE,IOU,8,Lakewood,Los Angeles County,8,12.8,10.3,3764,0.999423743,,,,,,,,,,,,,,,
90716,Southern California Edison,SCE,IOU,8,Hawaiian Gardens,Los Angeles County,8,12.8,10.3,3764,0.981580632,,,,,,,,,,,,,,,
90717,Los Angeles Department of Water & Power,LADWP,POU,6,Lomita,Los Angeles County,Zone 1,11.66667,11.66667,3768,0.93205155,,,,,,,,,,,,,,,
90720,Southern California Edison,SCE,IOU,8,Los Alamitos,Orange County,8,12.8,10.3,5908,0.995348319,,,,,,,,,,,,,,,
90723,Southern California Edison,SCE,IOU,8,Paramount,Los Angeles County,8,12.8,10.3,3782,0.985812582,,,,,,,,,,,,,,,
90731,Los Angeles Department of Water & Power,LADWP,POU,6,San Pedro,Los Angeles County,Zone 1,11.66667,11.66667,3767,0.992100885,,,,,,,,,,,,,,,
90732,Los Angeles Department of Water & Power,LADWP,POU,6,San Pedro,Los Angeles County,Zone 1,11.66667,11.66667,3767,0.980451323,,,,,,,,,,,,,,,
90740,Southern California Edison,SCE,IOU,6,Seal Beach,Orange County,6,11.4,11,5908,0.990802866,,,,,,,,,,,,,,,
90742,Southern California Edison,SCE,IOU,6,Sunset Beach,Orange County,6,11.4,11,5914,1,,,,,,,,,,,,,,,
90743,Southern California Edison,SCE,IOU,6,Surfside,Orange County,6,11.4,11,5914,0.996199175,,,,,,,,,,,,,,,
90744,Los Angeles Department of Water & Power,LADWP,POU,6,Wilmington,Los Angeles County,Zone 1,11.66667,11.66667,3767,0.996687399,,,,,,,,,,,,,,,
90745,Southern California Edison,SCE,IOU,6,Carson,Los Angeles County,6,11.4,11,3762,0.997949596,,,,,,,,,,,,,,,
90746,Southern California Edison,SCE,IOU,8,Carson,Los Angeles County,8,12.8,10.3,3762,0.875117782,,,,,,,,,,,,,,,
90747,Southern California Edison,SCE,IOU,8,Carson,Los Angeles County,8,12.8,10.3,3762,1,,,,,,,,,,,,,,,
90755,Southern California Edison,SCE,IOU,8,Signal Hill,Los Angeles County,6,11.4,11,3780,0.989112453,,,,,,,,,,,,,,,
90802,Southern California Edison,SCE,IOU,6,Long Beach,Los Angeles County,6,11.4,11,3766,0.861399779,,,,,,,,,,,,,,,
90803,Southern California Edison,SCE,IOU,6,Long Beach,Los Angeles County,6,11.4,11,3779,0.917851338,,,,,,,,,,,,,,,
90804,Southern California Edison,SCE,IOU,6,Long Beach,Los Angeles County,6,11.4,11,3780,0.67470819,,,,,,,,,,,,,,,
90805,Southern California Edison,SCE,IOU,8,Long Beach,Los Angeles County,8,12.8,10.3,3763,0.988961137,,,,,,,,,,,,,,,
90806,Southern California Edison,SCE,IOU,6,Long Beach,Los Angeles County,6,11.4,11,3766,0.559627085,,,,,,,,,,,,,,,
90807,Southern California Edison,SCE,IOU,8,Long Beach,Los Angeles County,8,12.8,10.3,3763,0.81281778,,,,,,,,,,,,,,,
90808,Southern California Edison,SCE,IOU,8,Long Beach,Los Angeles County,8,12.8,10.3,3779,0.84963212,,,,,,,,,,,,,,,
90810,Southern California Edison,SCE,IOU,6,Long Beach,Los Angeles County,6,11.4,11,3762,0.54030114,,,,,,,,,,,,,,,
90813,Southern California Edison,SCE,IOU,6,Long Beach,Los Angeles County,6,11.4,11,3766,0.76674445,,,,,,,,,,,,,,,
90814,Southern California Edison,SCE,IOU,6,Long Beach,Los Angeles County,6,11.4,11,3779,0.715023524,,,,,,,,,,,,,,,
90815,Southern California Edison,SCE,IOU,6,Long Beach,Los Angeles County,6,11.4,11,3779,0.813768639,,,,,,,,,,,,,,,
90822,Los Angeles Department of Water & Power,LADWP,POU,6,Long Beach,Los Angeles County,Zone 1,11.66667,11.66667,3767,1,,,,,,,,,,,,,,,
90840,Southern California Edison,SCE,IOU,6,Long Beach,Los Angeles County,6,11.4,11,3779,1,,,,,,,,,,,,,,,
91001,Southern California Edison,SCE,IOU,9,Altadena,Los Angeles County,9,16.9,12,3709,0.996470051,,,,,,,,,,,,,,,
91006,Southern California Edison,SCE,IOU,9,Arcadia,Los Angeles County,9,16.9,12,3717,0.855192641,,,,,,,,,,,,,,,
91007,Southern California Edison,SCE,IOU,9,Arcadia,Los Angeles County,9,16.9,12,3717,1,,,,,,,,,,,,,,,
91008,Southern California Edison,SCE,IOU,16,Duarte,Los Angeles County,9,16.9,12,3710,0.998738427,,,,,,,,,,,,,,,
91010,Southern California Edison,SCE,IOU,9,Duarte,Los Angeles County,9,16.9,12,3710,0.999048644,,,,,,,,,,,,,,,
91011,Southern California Edison,SCE,IOU,9,La Canada Flintridge,Los Angeles County,9,16.9,12,3709,0.998972608,,,,,,,,,,,,,,,
91016,Southern California Edison,SCE,IOU,9,Monrovia,Los Angeles County,9,16.9,12,3709,0.584690808,,,,,,,,,,,,,,,
91020,Southern California Edison,SCE,IOU,9,Montrose,Los Angeles County,9,16.9,12,3709,0.713945906,,,,,,,,,,,,,,,
91024,Southern California Edison,SCE,IOU,9,Sierra Madre,Los Angeles County,9,16.9,12,3709,0.980018213,,,,,,,,,,,,,,,
91030,Southern California Edison,SCE,IOU,9,South Pasadena,Los Angeles County,9,16.9,12,3736,0.987484086,,,,,,,,,,,,,,,
91040,Los Angeles Department of Water & Power,LADWP,POU,16,Sunland,Los Angeles County,Zone 2,16.66667,16.66667,3708,0.651998595,,,,,,,,,,,,,,,
91042,Los Angeles Department of Water & Power,LADWP,POU,16,Tujunga,Los Angeles County,Zone 2,16.66667,16.66667,3709,0.836261879,,,,,,,,,,,,,,,
91101,Pasadena Water & Power,NA,POU,9,Pasadena,Los Angeles County,NA,NA,NA,3718,1,,,,,,,,,,,,,,,
