building_id,puma,income,is_care,annual_kwh,scaling_factor,tou_dr_bill,tou_dr_f_bill,F0_WF0_ROE0_bill,F0_WF0_ROE1.0_bill,F0_WF1_ROE0_bill,F50_WF0_ROE0_bill,F50_WF1_ROE1.0_bill,F100_WF0_ROE0_bill
317710,G06007322,low,True,9649.24,0.7130643653791515,2946.444977824822,2951.4846135636667,2946.466359073523,2892.216462274522,2628.9514887855235,2464.2487592325233,2092.6225752615233,1982.2239240825231
317714,G06007326,high,False,6942.0289999999995,0.7130643653791515,3206.7678752381335,3111.549011945238,3206.7836036881317,3145.254365088132,2846.593707188132,3262.062989588132,2840.460531788132,3317.5856166881317
317717,G06007330,high,False,10819.657,0.7130643653791515,5254.129626628139,4909.139606355238,5254.175106688133,5158.400072388131,4693.763176488132,4727.180318888131,4071.2389867881325,4200.570145288131
317947,G06007317,medium,False,949.674,0.7130643653791515,406.0666847699984,652.4823262700002,406.06947082000005,397.54194982,356.12888422000003,1363.6602926199998,1305.20470092,2321.2903419199997
318118,G06007310,high,False,7418.513,0.7130643653791515,3481.5167204181325,3355.4791629452398,3481.5638840881315,3415.382556388132,3094.4587595881317,3458.704617888132,3005.6314420881317,3436.053222288132
318337,G06007310,low,True,6188.488000000001,0.7130643653791515,1833.7551068338914,1867.4805081121704,1833.7674452956926,1798.5998942476926,1627.8525644596928,1676.0673922276928,1435.0449581416929,1518.5140711996928
318378,G06007327,medium,False,5585.584000000001,0.7130643653791515,2458.2268382491498,2450.414720115501,2458.23833932915,2409.23840592915,2171.3789176291502,2726.7701101291495,2391.00162632915,2995.5137836291497
318418,G06007327,high,False,14526.367999999999,0.7130643653791515,7274.13282701814,6689.845387585245,7274.206586088132,7144.657532188132,6516.216236288132,6172.735673788131,5285.573469488132,5071.777803688132
319702,G06007311,high,False,8025.912,0.7130643653791515,3726.34165926813,3561.5289110752406,3726.3518924881323,3656.1433950881315,3315.3650696881323,3633.862336188132,3152.807470788132,3541.6475918881315
319727,G06007324,medium,False,10607.127,0.7130643653791515,5169.266132108132,4837.431207035244,5169.293654888132,5074.985886488132,4617.196445788133,4666.459439088132,4020.224558388132,4164.003964088131
319774,G06007322,low,True,3450.5930000000003,0.7130643653791515,910.751700114898,960.5876262776009,910.7549280143996,891.6663816143995,799.0508988503996,1027.0271346473996,896.2874432993996,1143.3547926833994
319791,G06007326,medium,False,2430.875,0.7130643653791515,1003.54441832,1174.2850024900001,1003.5453902499999,982.3085455499997,879.2311842499998,1744.8112053499997,1599.3022469499997,2486.1503078499995
319856,G06007323,high,False,4568.655999999999,0.7130643653791515,1937.3748792005076,1994.4121655395593,1937.3839545305082,1897.192492730508,1702.1398770305077,2356.033772930508,2080.6832048305077,2774.8363217305077
319894,G06007326,high,False,8244.914,0.7130643653791515,3907.164674178133,3728.260653865239,3907.208156688132,3833.919545588132,3478.489848088132,3763.279585988132,3261.508208688132,3619.627640988132
320156,G06007311,high,False,6923.914000000001,0.7130643653791515,3174.4467328681294,3080.715261815238,3174.4706204881318,3113.455244988132,2817.434010888132,3238.927828888132,2821.029949088132,3303.624525088132
320161,G06007317,high,False,16575.502,0.7130643653791515,8360.835548148132,7644.551695035243,8360.941118688132,8213.19447848813,7496.683625188132,6950.402779388132,5938.842018388132,5540.458379288131
